Year,Type of economic activity,Organisation and legal forms,Region,Value
2019,agents_specialised_in_the_sale_of_other_particular_products,,,
2020,agents_specialised_in_the_sale_of_other_particular_products,,,
2021,agents_specialised_in_the_sale_of_other_particular_products,,,32.6
2022,agents_specialised_in_the_sale_of_other_particular_products,,,34.9
2023,agents_specialised_in_the_sale_of_other_particular_products,,,35.4
2024,agents_specialised_in_the_sale_of_other_particular_products,,,39.1
2025,agents_specialised_in_the_sale_of_other_particular_products,,,
2015,agents_involved_in_the_sale_of_a_variety_of_goods,,,
2016,agents_involved_in_the_sale_of_a_variety_of_goods,,,
2017,agents_involved_in_the_sale_of_a_variety_of_goods,,,
2018,agents_involved_in_the_sale_of_a_variety_of_goods,,,
2019,agents_involved_in_the_sale_of_a_variety_of_goods,,,
2020,agents_involved_in_the_sale_of_a_variety_of_goods,,,
2021,agents_involved_in_the_sale_of_a_variety_of_goods,,,29.0
2022,agents_involved_in_the_sale_of_a_variety_of_goods,,,29.9
2023,agents_involved_in_the_sale_of_a_variety_of_goods,,,29.3
2024,agents_involved_in_the_sale_of_a_variety_of_goods,,,32.7
2025,agents_involved_in_the_sale_of_a_variety_of_goods,,,
2015,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,
2016,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,
2017,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,
2018,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,
2019,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,
2020,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,
2021,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,23.4
2022,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,23.8
2023,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,24.1
2024,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,25.4
2025,wholesale_of_grain_unmanufactured_tobacco_seeds_and_animal_feeds,,,
2015,wholesale_of_flowers_and_plants,,,
2016,wholesale_of_flowers_and_plants,,,
2017,wholesale_of_flowers_and_plants,,,
2018,wholesale_of_flowers_and_plants,,,
2019,wholesale_of_flowers_and_plants,,,
2020,wholesale_of_flowers_and_plants,,,
2021,wholesale_of_flowers_and_plants,,,39.9
2022,wholesale_of_flowers_and_plants,,,45.9
2023,wholesale_of_flowers_and_plants,,,42.6
2024,wholesale_of_flowers_and_plants,,,46.2
2025,wholesale_of_flowers_and_plants,,,
2015,wholesale_of_live_animals,,,
2016,wholesale_of_live_animals,,,
2017,wholesale_of_live_animals,,,
2018,wholesale_of_live_animals,,,
2019,wholesale_of_live_animals,,,
2020,wholesale_of_live_animals,,,
2021,wholesale_of_live_animals,,,23.5
2022,wholesale_of_live_animals,,,19.0
2023,wholesale_of_live_animals,,,16.7
2024,wholesale_of_live_animals,,,23.8
2025,wholesale_of_live_animals,,,
2015,wholesale_of_hides_skins_and_leather,,,
2016,wholesale_of_hides_skins_and_leather,,,
2017,wholesale_of_hides_skins_and_leather,,,
2018,wholesale_of_hides_skins_and_leather,,,
2019,wholesale_of_hides_skins_and_leather,,,
2020,wholesale_of_hides_skins_and_leather,,,
2021,wholesale_of_hides_skins_and_leather,,,21.2
2022,wholesale_of_hides_skins_and_leather,,,23.1
2023,wholesale_of_hides_skins_and_leather,,,12.9
2024,wholesale_of_hides_skins_and_leather,,,20.0
2025,wholesale_of_hides_skins_and_leather,,,
2015,wholesale_of_fruit_and_vegetables,,,
2016,wholesale_of_fruit_and_vegetables,,,
2017,wholesale_of_fruit_and_vegetables,,,
2018,wholesale_of_fruit_and_vegetables,,,
2019,wholesale_of_fruit_and_vegetables,,,
2020,wholesale_of_fruit_and_vegetables,,,
2021,wholesale_of_fruit_and_vegetables,,,27.0
2022,wholesale_of_fruit_and_vegetables,,,26.8
2023,wholesale_of_fruit_and_vegetables,,,28.8
2024,wholesale_of_fruit_and_vegetables,,,30.8
2025,wholesale_of_fruit_and_vegetables,,,
2015,wholesale_of_meat_and_meat_products,,,
2016,wholesale_of_meat_and_meat_products,,,
2017,wholesale_of_meat_and_meat_products,,,
2018,wholesale_of_meat_and_meat_products,,,
2019,wholesale_of_meat_and_meat_products,,,
2020,wholesale_of_meat_and_meat_products,,,
2021,wholesale_of_meat_and_meat_products,,,29.8
2022,wholesale_of_meat_and_meat_products,,,29.7
2023,wholesale_of_meat_and_meat_products,,,29.7
2024,wholesale_of_meat_and_meat_products,,,31.0
2025,wholesale_of_meat_and_meat_products,,,
2015,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,
2016,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,
2017,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,
2018,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,
2019,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,
2020,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,
2021,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,27.3
2022,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,27.8
2023,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,28.4
2024,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,28.6
2025,wholesale_of_dairy_products_eggs_and_edible_oils_and_fats,,,
2015,wholesale_of_beverages,,,
2016,wholesale_of_beverages,,,
2017,wholesale_of_beverages,,,
2018,wholesale_of_beverages,,,
2019,wholesale_of_beverages,,,
2020,wholesale_of_beverages,,,
2021,wholesale_of_beverages,,,26.3
2022,wholesale_of_beverages,,,25.8
2023,wholesale_of_beverages,,,25.9
2024,wholesale_of_beverages,,,30.4
2025,wholesale_of_beverages,,,
2015,wholesale_of_tobacco_products,,,
2016,wholesale_of_tobacco_products,,,
2017,wholesale_of_tobacco_products,,,
2018,wholesale_of_tobacco_products,,,
2019,wholesale_of_tobacco_products,,,
2020,wholesale_of_tobacco_products,,,
2021,wholesale_of_tobacco_products,,,21.9
2022,wholesale_of_tobacco_products,,,19.6
2023,wholesale_of_tobacco_products,,,22.5
2024,wholesale_of_tobacco_products,,,25.0
2025,wholesale_of_tobacco_products,,,
2015,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,
2016,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,
2017,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,
2018,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,
2019,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,
2020,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,
2021,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,29.8
2022,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,28.5
2023,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,27.7
2024,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,31.2
2025,wholesale_of_sugar_and_chocolate_and_sugar_confectionery,,,
2015,wholesale_of_coffee_tea_cocoa_and_spices,,,
2016,wholesale_of_coffee_tea_cocoa_and_spices,,,
2017,wholesale_of_coffee_tea_cocoa_and_spices,,,
2018,wholesale_of_coffee_tea_cocoa_and_spices,,,
2019,wholesale_of_coffee_tea_cocoa_and_spices,,,
2020,wholesale_of_coffee_tea_cocoa_and_spices,,,
2021,wholesale_of_coffee_tea_cocoa_and_spices,,,28.1
2022,wholesale_of_coffee_tea_cocoa_and_spices,,,29.9
2023,wholesale_of_coffee_tea_cocoa_and_spices,,,29.2
2024,wholesale_of_coffee_tea_cocoa_and_spices,,,30.0
2025,wholesale_of_coffee_tea_cocoa_and_spices,,,
2015,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,
2016,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,
2017,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,
2018,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,
2019,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,
2020,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,
2021,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,28.1
2022,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,27.1
2023,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,27.8
2024,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,29.7
2025,wholesale_of_other_food_including_fish_crustaceans_and_molluscs,,,
2015,non_specialised_wholesale_of_food_beverages_and_tobacco,,,
2016,non_specialised_wholesale_of_food_beverages_and_tobacco,,,
2017,non_specialised_wholesale_of_food_beverages_and_tobacco,,,
2018,non_specialised_wholesale_of_food_beverages_and_tobacco,,,
2019,non_specialised_wholesale_of_food_beverages_and_tobacco,,,
2020,non_specialised_wholesale_of_food_beverages_and_tobacco,,,
2021,non_specialised_wholesale_of_food_beverages_and_tobacco,,,27.6
2022,non_specialised_wholesale_of_food_beverages_and_tobacco,,,27.1
2023,non_specialised_wholesale_of_food_beverages_and_tobacco,,,27.4
2024,non_specialised_wholesale_of_food_beverages_and_tobacco,,,30.7
2025,non_specialised_wholesale_of_food_beverages_and_tobacco,,,
2015,wholesale_of_textiles,,,
2016,wholesale_of_textiles,,,
2017,wholesale_of_textiles,,,
2018,wholesale_of_textiles,,,
2019,wholesale_of_textiles,,,
2020,wholesale_of_textiles,,,
2021,wholesale_of_textiles,,,34.0
2022,wholesale_of_textiles,,,35.3
2023,wholesale_of_textiles,,,32.6
2024,wholesale_of_textiles,,,37.5
2025,wholesale_of_textiles,,,
2015,wholesale_of_clothing_and_footwear,,,
2016,wholesale_of_clothing_and_footwear,,,
2017,wholesale_of_clothing_and_footwear,,,
2018,wholesale_of_clothing_and_footwear,,,
2019,wholesale_of_clothing_and_footwear,,,
2020,wholesale_of_clothing_and_footwear,,,
2021,wholesale_of_clothing_and_footwear,,,33.8
2022,wholesale_of_clothing_and_footwear,,,34.4
2023,wholesale_of_clothing_and_footwear,,,35.3
2024,wholesale_of_clothing_and_footwear,,,36.3
2025,wholesale_of_clothing_and_footwear,,,
2015,wholesale_of_electrical_household_appliances,,,
2016,wholesale_of_electrical_household_appliances,,,
2017,wholesale_of_electrical_household_appliances,,,
2018,wholesale_of_electrical_household_appliances,,,
2019,wholesale_of_electrical_household_appliances,,,
2020,wholesale_of_electrical_household_appliances,,,
2021,wholesale_of_electrical_household_appliances,,,20.7
2022,wholesale_of_electrical_household_appliances,,,21.5
2023,wholesale_of_electrical_household_appliances,,,21.7
2024,wholesale_of_electrical_household_appliances,,,23.8
2025,wholesale_of_electrical_household_appliances,,,
2015,wholesale_of_china_and_glassware_and_cleaning_materials,,,
2016,wholesale_of_china_and_glassware_and_cleaning_materials,,,
2017,wholesale_of_china_and_glassware_and_cleaning_materials,,,
2018,wholesale_of_china_and_glassware_and_cleaning_materials,,,
2019,wholesale_of_china_and_glassware_and_cleaning_materials,,,
2020,wholesale_of_china_and_glassware_and_cleaning_materials,,,
2021,wholesale_of_china_and_glassware_and_cleaning_materials,,,33.8
2022,wholesale_of_china_and_glassware_and_cleaning_materials,,,31.5
2023,wholesale_of_china_and_glassware_and_cleaning_materials,,,29.3
2024,wholesale_of_china_and_glassware_and_cleaning_materials,,,30.5
2025,wholesale_of_china_and_glassware_and_cleaning_materials,,,
2015,wholesale_of_perfume_and_cosmetics,,,
2016,wholesale_of_perfume_and_cosmetics,,,
2017,wholesale_of_perfume_and_cosmetics,,,
2018,wholesale_of_perfume_and_cosmetics,,,
2019,wholesale_of_perfume_and_cosmetics,,,
2020,wholesale_of_perfume_and_cosmetics,,,
2021,wholesale_of_perfume_and_cosmetics,,,44.1
2022,wholesale_of_perfume_and_cosmetics,,,45.2
2023,wholesale_of_perfume_and_cosmetics,,,46.0
2024,wholesale_of_perfume_and_cosmetics,,,49.6
2025,wholesale_of_perfume_and_cosmetics,,,
2015,wholesale_of_pharmaceutical_goods,,,
2016,wholesale_of_pharmaceutical_goods,,,
2017,wholesale_of_pharmaceutical_goods,,,
2018,wholesale_of_pharmaceutical_goods,,,
2019,wholesale_of_pharmaceutical_goods,,,
2020,wholesale_of_pharmaceutical_goods,,,
2021,wholesale_of_pharmaceutical_goods,,,35.1
2022,wholesale_of_pharmaceutical_goods,,,34.9
2023,wholesale_of_pharmaceutical_goods,,,34.8
2024,wholesale_of_pharmaceutical_goods,,,37.5
2025,wholesale_of_pharmaceutical_goods,,,
2015,wholesale_of_furniture_carpets_and_lighting_equipment,,,
2016,wholesale_of_furniture_carpets_and_lighting_equipment,,,
2017,wholesale_of_furniture_carpets_and_lighting_equipment,,,
2018,wholesale_of_furniture_carpets_and_lighting_equipment,,,
2019,wholesale_of_furniture_carpets_and_lighting_equipment,,,
2020,wholesale_of_furniture_carpets_and_lighting_equipment,,,
2021,wholesale_of_furniture_carpets_and_lighting_equipment,,,28.4
2022,wholesale_of_furniture_carpets_and_lighting_equipment,,,24.3
2023,wholesale_of_furniture_carpets_and_lighting_equipment,,,25.6
2024,wholesale_of_furniture_carpets_and_lighting_equipment,,,28.5
2025,wholesale_of_furniture_carpets_and_lighting_equipment,,,
2015,wholesale_of_watches_and_jewellery,,,
2016,wholesale_of_watches_and_jewellery,,,
2017,wholesale_of_watches_and_jewellery,,,
2018,wholesale_of_watches_and_jewellery,,,
2019,wholesale_of_watches_and_jewellery,,,
2020,wholesale_of_watches_and_jewellery,,,
2021,wholesale_of_watches_and_jewellery,,,44.8
2022,wholesale_of_watches_and_jewellery,,,54.0
2023,wholesale_of_watches_and_jewellery,,,52.6
2024,wholesale_of_watches_and_jewellery,,,58.5
2025,wholesale_of_watches_and_jewellery,,,
2015,wholesale_of_other_household_goods,,,
2016,wholesale_of_other_household_goods,,,
2017,wholesale_of_other_household_goods,,,
2018,wholesale_of_other_household_goods,,,
2019,wholesale_of_other_household_goods,,,
2020,wholesale_of_other_household_goods,,,
2021,wholesale_of_other_household_goods,,,29.1
2022,wholesale_of_other_household_goods,,,29.1
2023,wholesale_of_other_household_goods,,,30.1
2024,wholesale_of_other_household_goods,,,33.9
2025,wholesale_of_other_household_goods,,,
2015,wholesale_of_computers_computer_peripheral_equipment_and_software,,,
2016,wholesale_of_computers_computer_peripheral_equipment_and_software,,,
2017,wholesale_of_computers_computer_peripheral_equipment_and_software,,,
2018,wholesale_of_computers_computer_peripheral_equipment_and_software,,,
2019,wholesale_of_computers_computer_peripheral_equipment_and_software,,,
2020,wholesale_of_computers_computer_peripheral_equipment_and_software,,,
2021,wholesale_of_computers_computer_peripheral_equipment_and_software,,,15.9
2022,wholesale_of_computers_computer_peripheral_equipment_and_software,,,16.5
2023,wholesale_of_computers_computer_peripheral_equipment_and_software,,,17.0
2024,wholesale_of_computers_computer_peripheral_equipment_and_software,,,18.6
2025,wholesale_of_computers_computer_peripheral_equipment_and_software,,,
2015,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,
2016,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,
2017,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,
2018,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,
2019,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,
2020,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,
2021,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,17.9
2022,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,20.1
2023,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,20.8
2024,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,24.0
2025,wholesale_of_electronic_and_telecommunications_equipment_and_parts,,,
2015,wholesale_of_agricultural_machinery_equipment_and_supplies,,,
2016,wholesale_of_agricultural_machinery_equipment_and_supplies,,,
2017,wholesale_of_agricultural_machinery_equipment_and_supplies,,,
2018,wholesale_of_agricultural_machinery_equipment_and_supplies,,,
2019,wholesale_of_agricultural_machinery_equipment_and_supplies,,,
2020,wholesale_of_agricultural_machinery_equipment_and_supplies,,,
2021,wholesale_of_agricultural_machinery_equipment_and_supplies,,,17.0
2022,wholesale_of_agricultural_machinery_equipment_and_supplies,,,16.0
2023,wholesale_of_agricultural_machinery_equipment_and_supplies,,,17.5
2024,wholesale_of_agricultural_machinery_equipment_and_supplies,,,19.1
2025,wholesale_of_agricultural_machinery_equipment_and_supplies,,,
2015,wholesale_of_machine_tools,,,
2016,wholesale_of_machine_tools,,,
2017,wholesale_of_machine_tools,,,
2018,wholesale_of_machine_tools,,,
2019,wholesale_of_machine_tools,,,
2020,wholesale_of_machine_tools,,,
2021,wholesale_of_machine_tools,,,15.1
2022,wholesale_of_machine_tools,,,17.0
2023,wholesale_of_machine_tools,,,19.0
2024,wholesale_of_machine_tools,,,23.1
2025,wholesale_of_machine_tools,,,
2015,wholesale_of_mining_construction_and_civil_engineering_machinery,,,
2016,wholesale_of_mining_construction_and_civil_engineering_machinery,,,
2017,wholesale_of_mining_construction_and_civil_engineering_machinery,,,
2018,wholesale_of_mining_construction_and_civil_engineering_machinery,,,
2019,wholesale_of_mining_construction_and_civil_engineering_machinery,,,
2020,wholesale_of_mining_construction_and_civil_engineering_machinery,,,
2021,wholesale_of_mining_construction_and_civil_engineering_machinery,,,20.5
2022,wholesale_of_mining_construction_and_civil_engineering_machinery,,,20.8
2023,wholesale_of_mining_construction_and_civil_engineering_machinery,,,21.4
2024,wholesale_of_mining_construction_and_civil_engineering_machinery,,,22.3
2025,wholesale_of_mining_construction_and_civil_engineering_machinery,,,
2015,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,
2016,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,
2017,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,
2018,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,
2019,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,
2020,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,
2021,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,25.9
2022,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,23.9
2023,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,31.9
2024,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,30.2
2025,wholesale_of_machinery_for_the_textile_industry_and_of_sewing_and_knitting_machines,,,
2015,wholesale_of_office_furniture,,,
2016,wholesale_of_office_furniture,,,
2017,wholesale_of_office_furniture,,,
2018,wholesale_of_office_furniture,,,
2019,wholesale_of_office_furniture,,,
2020,wholesale_of_office_furniture,,,
2021,wholesale_of_office_furniture,,,23.8
2022,wholesale_of_office_furniture,,,23.0
2023,wholesale_of_office_furniture,,,26.1
2024,wholesale_of_office_furniture,,,32.4
2025,wholesale_of_office_furniture,,,
2015,wholesale_of_other_office_machinery_and_equipment,,,
2016,wholesale_of_other_office_machinery_and_equipment,,,
2017,wholesale_of_other_office_machinery_and_equipment,,,
2018,wholesale_of_other_office_machinery_and_equipment,,,
2019,wholesale_of_other_office_machinery_and_equipment,,,
2020,wholesale_of_other_office_machinery_and_equipment,,,
2021,wholesale_of_other_office_machinery_and_equipment,,,22.4
2022,wholesale_of_other_office_machinery_and_equipment,,,22.9
2023,wholesale_of_other_office_machinery_and_equipment,,,25.0
2024,wholesale_of_other_office_machinery_and_equipment,,,24.2
2025,wholesale_of_other_office_machinery_and_equipment,,,
2015,wholesale_of_other_machinery_and_equipment,,,
2016,wholesale_of_other_machinery_and_equipment,,,
2017,wholesale_of_other_machinery_and_equipment,,,
2018,wholesale_of_other_machinery_and_equipment,,,
2019,wholesale_of_other_machinery_and_equipment,,,
2020,wholesale_of_other_machinery_and_equipment,,,
2021,wholesale_of_other_machinery_and_equipment,,,20.6
2022,wholesale_of_other_machinery_and_equipment,,,20.6
2023,wholesale_of_other_machinery_and_equipment,,,20.9
2024,wholesale_of_other_machinery_and_equipment,,,23.3
2025,wholesale_of_other_machinery_and_equipment,,,
2015,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,
2016,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,
2017,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,
2018,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,
2019,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,
2020,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,
2021,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,22.9
2022,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,23.7
2023,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,23.9
2024,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,25.6
2025,wholesale_of_solid_liquid_and_gaseous_fuels_and_related_products,,,
2015,wholesale_of_metals_and_metal_ores,,,
2016,wholesale_of_metals_and_metal_ores,,,
2017,wholesale_of_metals_and_metal_ores,,,
2018,wholesale_of_metals_and_metal_ores,,,
2019,wholesale_of_metals_and_metal_ores,,,
2020,wholesale_of_metals_and_metal_ores,,,
2021,wholesale_of_metals_and_metal_ores,,,22.0
2022,wholesale_of_metals_and_metal_ores,,,22.6
2023,wholesale_of_metals_and_metal_ores,,,23.1
2024,wholesale_of_metals_and_metal_ores,,,26.5
2025,wholesale_of_metals_and_metal_ores,,,
2015,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,
2016,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,
2017,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,
2018,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,
2019,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,
2020,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,
2021,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,23.0
2022,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,23.1
2023,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,24.0
2024,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,25.7
2025,wholesale_of_wood_construction_materials_and_sanitary_equipment,,,
2015,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,
2016,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,
2017,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,
2018,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,
2019,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,
2020,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,
2021,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,21.0
2022,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,21.9
2023,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,22.0
2024,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,23.7
2025,wholesale_of_hardware_plumbing_and_heating_equipment_and_supplies,,,
2015,wholesale_of_chemical_products,,,
2016,wholesale_of_chemical_products,,,
2017,wholesale_of_chemical_products,,,
2018,wholesale_of_chemical_products,,,
2019,wholesale_of_chemical_products,,,
2020,wholesale_of_chemical_products,,,
2021,wholesale_of_chemical_products,,,24.8
2022,wholesale_of_chemical_products,,,25.7
2023,wholesale_of_chemical_products,,,25.5
2024,wholesale_of_chemical_products,,,27.0
2025,wholesale_of_chemical_products,,,
2015,wholesale_of_other_intermediate_products,,,
2016,wholesale_of_other_intermediate_products,,,
2017,wholesale_of_other_intermediate_products,,,
2018,wholesale_of_other_intermediate_products,,,
2019,wholesale_of_other_intermediate_products,,,
2020,wholesale_of_other_intermediate_products,,,
2021,wholesale_of_other_intermediate_products,,,25.7
2022,wholesale_of_other_intermediate_products,,,24.6
2023,wholesale_of_other_intermediate_products,,,24.4
2024,wholesale_of_other_intermediate_products,,,28.2
2025,wholesale_of_other_intermediate_products,,,
2015,wholesale_of_waste_and_scrap,,,
2016,wholesale_of_waste_and_scrap,,,
2017,wholesale_of_waste_and_scrap,,,
2018,wholesale_of_waste_and_scrap,,,
2019,wholesale_of_waste_and_scrap,,,
2020,wholesale_of_waste_and_scrap,,,
2021,wholesale_of_waste_and_scrap,,,18.0
2022,wholesale_of_waste_and_scrap,,,17.4
2023,wholesale_of_waste_and_scrap,,,17.4
2024,wholesale_of_waste_and_scrap,,,20.3
2025,wholesale_of_waste_and_scrap,,,
2015,non_specialised_wholesale_trade,,,
2016,non_specialised_wholesale_trade,,,
2017,non_specialised_wholesale_trade,,,
2018,non_specialised_wholesale_trade,,,
2019,non_specialised_wholesale_trade,,,
2020,non_specialised_wholesale_trade,,,
2021,non_specialised_wholesale_trade,,,25.2
2022,non_specialised_wholesale_trade,,,25.0
2023,non_specialised_wholesale_trade,,,24.7
2024,non_specialised_wholesale_trade,,,27.5
2025,non_specialised_wholesale_trade,,,
2015,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,
2016,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,
2017,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,
2018,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,
2019,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,
2020,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,
2021,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,49.6
2022,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,49.2
2023,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,48.5
2024,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,49.1
2025,retail_sale_in_non_specialised_stores_with_food_beverages_or_tobacco_predominating,,,
2015,other_retail_sale_in_non_specialised_stores,,,
2016,other_retail_sale_in_non_specialised_stores,,,
2017,other_retail_sale_in_non_specialised_stores,,,
2018,other_retail_sale_in_non_specialised_stores,,,
2019,other_retail_sale_in_non_specialised_stores,,,
2020,other_retail_sale_in_non_specialised_stores,,,
2021,other_retail_sale_in_non_specialised_stores,,,37.8
2022,other_retail_sale_in_non_specialised_stores,,,37.2
2023,other_retail_sale_in_non_specialised_stores,,,36.3
2024,other_retail_sale_in_non_specialised_stores,,,39.3
2025,other_retail_sale_in_non_specialised_stores,,,
2015,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,
2016,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,
2017,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,
2018,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,
2019,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,
2020,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,
2021,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,51.4
2022,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,50.0
2023,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,57.1
2024,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,50.0
2025,retail_sale_of_fruit_and_vegetables_in_specialised_stores,,,
2015,retail_sale_of_meat_and_meat_products_in_specialised_stores,,,
2016,retail_sale_of_meat_and_meat_products_in_specialised_stores,,,
2017,retail_sale_of_meat_and_meat_products_in_specialised_stores,,,
2018,retail_sale_of_meat_and_meat_products_in_specialised_stores,,,
2019,retail_sale_of_meat_and_meat_products_in_specialised_stores,,,
2020,retail_sale_of_meat_and_meat_products_in_specialised_stores,,,
